[2026-04-23T18:56:08.900Z] GET http://localhost:3000/auth/login → 200 (223ms, ?B)
[2026-04-23T18:56:09.161Z] GET http://localhost:3000/_next/static/media/e8f2fbee2754df70-s.p.0fzkl03jw-sdz.woff2 → pending (?ms, ?B)
[2026-04-23T18:56:09.161Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → pending (?ms, ?B)
[2026-04-23T18:56:09.161Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.161Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js → pending (?ms, ?B)
[2026-04-23T18:56:09.161Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.161Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.161Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.161Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/_0rqeker._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/turbopack-_0p44nws._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/node_modules_0m7pi5w._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/src_components_ui_sonner_tsx_0xbt7ar._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_004glpo._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/node_modules_04mg8h.._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/src_11bl7-m._.js → pending (?ms, ?B)
